identical,SurfMatches,PCL Matches,ICP Similarityscore,ColorHistDistance
1,8,4,1.91895e-05,0.630512
1,7,4,1.78884e-05,0.623367
1,7,5,1.88388e-05,0.618879
1,10,5,1.67778e-05,0.617566
1,30,4,1.86455e-05,0.561888
1,11,4,1.6789200000000002e-05,0.621866
1,7,4,1.65884e-05,0.627199
1,9,3,1.84232e-05,0.626785
1,7,4,1.96732e-05,0.618608
1,9,4,1.9241099999999998e-05,0.616776
1,9,4,1.86569e-05,0.616521
1,8,4,1.88926e-05,0.616355
1,8,5,1.67717e-05,0.626084
1,13,8,2.7981300000000003e-05,0.507019
1,14,6,3.6436399999999996e-05,0.504533
1,13,8,2.55236e-05,0.49746999999999997
1,16,7,2.78103e-05,0.5052
1,15,8,2.7981300000000003e-05,0.506211
1,13,6,3.6436399999999996e-05,0.5047560000000001
1,13,8,2.55236e-05,0.49905299999999997
1,17,8,2.78103e-05,0.505988
1,15,8,2.7981300000000003e-05,0.5069779999999999
1,13,6,3.6436399999999996e-05,0.5047560000000001
1,13,8,2.55236e-05,0.497679
1,16,8,2.78103e-05,0.506178
1,15,8,2.7981300000000003e-05,0.507629
1,14,6,3.6436399999999996e-05,0.504762
1,13,8,2.55236e-05,0.497472
1,17,7,2.78103e-05,0.5040819999999999
1,13,8,2.7981300000000003e-05,0.5076229999999999
1,14,7,3.6436399999999996e-05,0.503843
1,13,8,2.55236e-05,0.498097
1,17,7,2.78103e-05,0.5040819999999999
1,13,8,2.7981300000000003e-05,0.5076229999999999
1,14,7,3.6436399999999996e-05,0.503843
1,13,8,2.55236e-05,0.498097
1,13,8,2.78103e-05,0.506418
1,14,8,2.7981300000000003e-05,0.5064529999999999
1,12,6,3.6436399999999996e-05,0.5047229999999999
1,13,8,2.55236e-05,0.49802399999999997
1,14,7,2.78103e-05,0.5053380000000001
1,6,4,2.7295e-05,0.8125720000000001
1,7,4,2.7086199999999998e-05,0.8021520000000001
1,8,4,2.7873200000000003e-05,0.801381
1,7,5,3.09262e-05,0.799456
1,7,5,2.59506e-05,0.7996939999999999
1,8,3,3.07741e-05,0.801798
1,7,5,2.8047600000000002e-05,0.7998149999999999
1,7,3,2.90619e-05,0.802771
1,7,8,3.25859e-05,0.805103
1,54,13,2.7249299999999997e-05,0.41934399999999994
1,53,14,2.5501100000000002e-05,0.422192
1,10,3,2.53134e-05,0.80284
1,59,12,2.51627e-05,0.420966
1,7,6,2.64889e-05,0.798821
1,51,12,2.62994e-05,0.419199
1,7,4,2.94493e-05,0.801808
1,7,5,2.8758099999999998e-05,0.80386
1,55,10,2.53346e-05,0.428889
1,7,4,2.73454e-05,0.8060039999999999
1,7,6,2.64646e-05,0.80337
1,8,6,2.7001300000000002e-05,0.799555
1,8,5,3.0410100000000002e-05,0.798275
1,6,5,2.5341599999999998e-05,0.802458
1,7,6,2.8964899999999998e-05,0.803075
1,7,3,3.1912199999999996e-05,0.793662
1,6,5,2.87491e-05,0.802233
1,8,3,2.6756e-05,0.798431
1,6,5,2.69231e-05,0.8010079999999999
1,7,4,3.0382800000000003e-05,0.8066369999999999
1,8,4,2.6677600000000004e-05,0.807092
1,6,4,2.6377e-05,0.8031520000000001
1,7,4,2.69415e-05,0.8036979999999999
1,7,4,2.66821e-05,0.794652
1,7,5,2.6004299999999998e-05,0.796324
1,7,3,2.6923899999999998e-05,0.805852
1,7,5,3.11051e-05,0.80174
1,8,5,2.9989e-05,0.798304
1,7,4,2.61394e-05,0.804289
1,8,7,2.8455900000000003e-05,0.800003
1,6,6,2.74822e-05,0.80061
1,6,3,2.5029099999999997e-05,0.799564
1,59,11,2.4825700000000002e-05,0.419162
1,7,4,2.63152e-05,0.79903
1,7,4,2.99763e-05,0.800339
1,7,6,2.8865999999999998e-05,0.806547
1,6,7,2.8279200000000002e-05,0.799826
1,6,5,2.70021e-05,0.7998270000000001
1,8,5,2.7718400000000002e-05,0.797826
1,7,1,2.75708e-05,0.799249
1,7,6,2.6844899999999998e-05,0.8023239999999999
1,7,6,2.73255e-05,0.806032
1,7,6,2.5655900000000003e-05,0.798381
1,7,4,2.85429e-05,0.7958729999999999
1,7,6,3.4246e-05,0.794988
1,7,2,2.86973e-05,0.799782
1,7,3,2.87645e-05,0.79796
1,51,13,2.9254899999999997e-05,0.416739
1,7,5,2.7687600000000002e-05,0.8057949999999999
1,8,5,2.96952e-05,0.796078
1,61,11,2.7709899999999997e-05,0.419782
1,9,2,2.69341e-05,0.8066369999999999
1,7,7,2.89727e-05,0.799864
1,7,4,2.6953e-05,0.8017380000000001
1,51,16,2.36117e-05,0.42016099999999995
1,51,14,2.4208200000000003e-05,0.421604
1,7,5,3.56842e-05,0.789756
1,7,5,3.07665e-05,0.799708
1,7,6,2.5966100000000002e-05,0.800668
1,6,4,3.01864e-05,0.795177
1,8,4,2.54738e-05,0.7967569999999999
1,7,4,2.54767e-05,0.79901
1,8,3,2.7108400000000003e-05,0.798471
1,7,7,2.97456e-05,0.7919609999999999
1,50,18,2.34087e-05,0.426259
1,7,5,2.6996700000000002e-05,0.800465
1,7,5,2.75377e-05,0.799607
1,7,3,2.69569e-05,0.7998890000000001
1,6,1,2.62816e-05,0.797234
1,7,3,2.64815e-05,0.806481
1,14,7,3.54441e-05,0.46995299999999995
0,9,5,2.799e-05,0.5145270000000001
1,32,11,2.98572e-05,0.448801
1,37,9,3.39564e-05,0.448775
1,28,6,3.23227e-05,0.445043
1,26,7,3.31966e-05,0.44873199999999996
1,32,7,3.35793e-05,0.45075200000000004
1,38,12,3.27847e-05,0.43443699999999996
1,35,11,3.65712e-05,0.452416
1,30,11,3.11935e-05,0.453035
1,33,8,3.0002800000000004e-05,0.454838
1,27,9,3.37631e-05,0.44378500000000004
1,31,8,3.49544e-05,0.444749
1,27,10,3.37706e-05,0.459193
1,28,7,3.9026399999999996e-05,0.44617700000000005
1,28,8,3.41385e-05,0.454192
1,27,11,3.11722e-05,0.451963
1,32,8,3.55461e-05,0.44506599999999996
1,28,8,3.2863e-05,0.45441000000000004
1,35,9,3.0104200000000002e-05,0.458596
1,34,12,3.0919e-05,0.447751
1,34,8,3.02781e-05,0.43987600000000004
1,31,7,3.47627e-05,0.46471599999999996
1,38,7,3.0114800000000002e-05,0.442486
1,31,6,3.10269e-05,0.466422
1,31,7,3.4054400000000004e-05,0.45423800000000003
1,34,9,3.2221e-05,0.45826400000000006
1,35,8,2.82557e-05,0.443601
1,36,10,2.9628600000000003e-05,0.44589300000000004
1,36,5,3.34898e-05,0.46131400000000006
1,34,6,3.42012e-05,0.461275

