identical,SurfMatches,PCLMatches,ICPSimilarityscore,ColorHistDistance,confidence,mockedPipeline
1,21,13,3.4019899999999996e-05,0.584295,-1,1
0,11,2,3.55021e-05,0.634474,-1,1
0,21,3,5.15506e-05,0.561958,-1,1
0,13,3,2.6255300000000003e-05,0.638247,-1,0
0,12,1,9.990940000000001e-05,0.714554,-1,0
1,17,12,2.6898000000000002e-05,0.745447,-1,1
0,15,4,2.50335e-05,0.755865,-1,1
0,19,8,3.76362e-05,0.741991,-1,1
0,8,2,3.39783e-05,0.730459,-1,1
0,9,4,3.54268e-05,0.5748979999999999,-1,0
1,32,13,3.24153e-05,0.576376,-1,0
0,12,5,2.54747e-05,0.629789,-1,0
0,8,9,3.44708e-05,0.8468389999999999,-1,0
0,39,6,8.01161e-05,0.8364149999999999,-1,1
0,18,9,3.97264e-05,0.8597469999999999,-1,1
0,14,6,3.60324e-05,0.8876129999999999,-1,1
1,12,5,2.9000599999999998e-05,0.8396370000000001,-1,1
1,8,5,2.7086199999999998e-05,0.80272,-1,0
0,13,3,8.12798e-05,0.751041,-1,0
0,10,4,3.67781e-05,0.729159,-1,1
1,11,6,2.88979e-05,0.744526,-1,1
0,12,9,3.55176e-05,0.738658,-1,1
0,11,9,3.93549e-05,0.7417819999999999,-1,1
0,9,8,2.74854e-05,0.702372,-1,0
0,10,7,3.58752e-05,0.8462879999999999,-1,0
1,12,4,2.68308e-05,0.838938,-1,1
0,14,5,3.79378e-05,0.8838809999999999,-1,1
0,25,2,8.05599e-05,0.839792,-1,1
0,25,7,2.58646e-05,0.8411850000000001,-1,1
0,14,6,7.78394e-05,0.749356,-1,0
0,20,8,2.6558000000000002e-05,0.746736,-1,1
1,10,4,2.8370900000000003e-05,0.745147,-1,1
0,10,4,3.63286e-05,0.743488,-1,1
0,16,10,3.76816e-05,0.739027,-1,1
1,10,6,2.8047600000000002e-05,0.800715,-1,0
0,8,6,2.4808499999999998e-05,0.796872,-1,0
1,10,3,2.7617399999999998e-05,0.814933,-1,0
0,15,9,3.64454e-05,0.8212020000000001,-1,1
0,21,8,8.00939e-05,0.822313,-1,1
0,15,10,2.66982e-05,0.8486239999999999,-1,1
0,10,6,2.4815100000000002e-05,0.8462040000000001,-1,1
0,13,21,2.7564899999999998e-05,0.692628,-1,0
0,8,5,2.42429e-05,0.7851090000000001,-1,0
0,11,9,2.7316399999999998e-05,0.7028909999999999,-1,0
1,61,15,2.51627e-05,0.555786,-1,0
0,14,5,8.17635e-05,0.74298,-1,0
0,10,6,2.5551e-05,0.720548,-1,1
0,11,9,0.00017033,0.813753,-1,0
0,23,6,0.000144849,0.8681840000000001,-1,1
0,15,3,0.000252479,0.845299,-1,1
1,18,21,1.55693e-05,0.821002,-1,1
0,24,5,0.000257701,0.847823,-1,1
0,17,3,0.000324175,0.817914,-1,0
