identical,SurfMatches,PCLMatches,ICPSimilarityscore,ColorHistDistance
0,11,1,7.85388e-05,0.71478
1,13,1,7.9009e-05,0.697126
1,12,1,8.370219999999999e-05,0.69692
1,11,0,8.27325e-05,0.717173
1,13,1,8.04379e-05,0.7073520000000001
1,12,0,8.697489999999999e-05,0.703176
0,13,0,8.608889999999999e-05,0.7157439999999999
1,10,0,7.90826e-05,0.722647
1,10,0,8.472059999999999e-05,0.710179
1,13,1,8.45427e-05,0.714448
1,11,2,8.589459999999999e-05,0.7061930000000001
1,13,0,8.590290000000001e-05,0.710806
1,11,2,8.243129999999999e-05,0.69177
0,11,1,8.089619999999999e-05,0.693675
1,12,1,8.47328e-05,0.6952619999999999
1,11,1,8.23202e-05,0.697455
1,25,10,2.43805e-05,0.7121770000000001
1,24,12,2.5124699999999997e-05,0.7056680000000001
1,28,13,2.43365e-05,0.720453
1,24,8,2.5186799999999997e-05,0.709551
1,20,9,2.38542e-05,0.726878
1,25,8,2.3472800000000003e-05,0.720051
1,22,6,3.8139099999999995e-05,0.713908
1,18,10,2.49943e-05,0.712499
1,18,7,2.5015900000000002e-05,0.715461
0,19,17,2.33605e-05,0.728073
1,27,7,2.3006399999999997e-05,0.711854
1,15,12,2.74702e-05,0.697914
1,24,6,2.83318e-05,0.718641
0,24,10,2.7338200000000002e-05,0.718117
1,24,11,2.19869e-05,0.719147
1,21,6,2.2599899999999997e-05,0.706958
0,24,9,2.3780100000000003e-05,0.714973
0,18,3,5.75538e-05,0.72377
1,25,7,3.0199099999999997e-05,0.708001
1,29,10,2.52684e-05,0.699207
1,25,9,2.3672899999999998e-05,0.706445
0,20,8,2.4283600000000002e-05,0.703125
0,30,10,2.49525e-05,0.704148
1,25,10,2.53475e-05,0.70282
1,25,13,2.5238e-05,0.7098720000000001
1,24,9,2.58785e-05,0.722141
1,31,7,2.50337e-05,0.717197
1,25,11,2.62569e-05,0.724292
1,22,2,2.1032600000000003e-05,0.7089840000000001
0,27,7,2.36029e-05,0.711746
1,26,8,2.47027e-05,0.71507
1,23,9,2.60848e-05,0.7142189999999999
1,22,6,2.11289e-05,0.717495
1,19,9,2.4685100000000002e-05,0.6920890000000001
1,30,9,2.4154e-05,0.714274
1,21,4,5.15595e-05,0.721105
1,25,8,2.51017e-05,0.720779
1,21,10,2.4050500000000003e-05,0.719122
1,23,8,2.25343e-05,0.7287100000000001
1,27,9,2.4878e-05,0.713445
0,26,7,2.2762399999999997e-05,0.710688
1,18,13,2.31956e-05,0.710133
1,27,10,2.21678e-05,0.708577
1,24,10,2.3400799999999998e-05,0.7234109999999999
1,25,6,2.4046599999999998e-05,0.714162
1,24,10,2.01862e-05,0.718989
1,23,7,2.4466999999999998e-05,0.720917
1,24,10,2.5519099999999998e-05,0.71755
0,18,7,2.4142399999999998e-05,0.7341489999999999
1,22,10,2.46211e-05,0.717116
1,19,16,3.6740500000000005e-05,0.733162
1,23,9,2.5187600000000003e-05,0.7011649999999999
1,27,9,2.47473e-05,0.714959
1,20,14,2.3905500000000003e-05,0.728273
1,22,12,2.54069e-05,0.723113
1,58,5,9.12651e-06,0.7549060000000001
1,61,8,7.0922699999999994e-06,0.758977
1,69,8,8.628089999999999e-06,0.75856
1,57,8,8.29286e-06,0.753223
1,65,7,7.47807e-06,0.75279
1,64,7,8.7348e-06,0.754125
1,61,7,8.05743e-06,0.756718
1,67,7,7.68363e-06,0.754184
1,54,6,7.818099999999999e-06,0.756627
1,65,6,7.25946e-06,0.7523350000000001
1,74,7,8.14293e-06,0.754463
1,65,9,7.238380000000001e-06,0.753029
1,64,7,7.98936e-06,0.754023
1,66,8,6.761289999999999e-06,0.750356
1,65,10,8.16495e-06,0.753342
1,67,7,7.375239999999999e-06,0.748356
1,60,8,7.531960000000001e-06,0.756668
1,65,12,8.11754e-06,0.755079
1,8,5,6.77485e-06,0.806822
1,65,5,9.64903e-06,0.759562
1,61,7,9.02859e-06,0.76227
1,57,8,8.14305e-06,0.761606
1,54,4,8.36194e-06,0.7551720000000001
1,54,7,9.04482e-06,0.7527
1,9,5,9.40177e-06,0.8074439999999999
1,68,7,7.17237e-06,0.7545930000000001
1,53,7,7.69023e-06,0.75675
1,62,7,8.45218e-06,0.756977
1,60,5,9.46597e-06,0.757165
1,57,6,8.73145e-06,0.750762
1,53,7,8.08511e-06,0.751592
1,61,4,9.267589999999998e-06,0.752372
1,54,5,8.164400000000001e-06,0.7552770000000001
1,64,6,8.272519999999999e-06,0.7563300000000001
1,61,4,1.02139e-05,0.758351
1,60,4,8.84459e-06,0.762055
1,71,4,8.69765e-06,0.759
1,57,6,7.54145e-06,0.7552300000000001
1,62,9,8.72691e-06,0.75449
1,56,8,6.063919999999999e-06,0.761051
1,67,9,7.63995e-06,0.7598659999999999
1,68,9,8.04224e-06,0.7548520000000001
1,69,6,8.54479e-06,0.7564609999999999
1,63,10,8.614839999999999e-06,0.755275
1,57,9,9.123889999999998e-06,0.758545
1,69,8,7.98283e-06,0.756738
1,67,9,7.0896100000000005e-06,0.761447
1,67,8,5.97686e-06,0.7525390000000001
1,61,7,8.26999e-06,0.761832
1,70,9,7.42558e-06,0.7532939999999999
1,59,8,1.0035499999999999e-05,0.756904
1,8,5,6.93428e-06,0.805196
1,58,10,9.947510000000002e-06,0.7535810000000001
1,68,6,9.72917e-06,0.758837
1,63,9,8.2283e-06,0.754533
1,54,7,9.53378e-06,0.756229
1,69,7,5.13172e-06,0.752178
1,67,7,8.21563e-06,0.758987
1,75,7,6.438930000000001e-06,0.7515470000000001
1,65,4,8.15983e-06,0.754497
1,53,4,8.6853e-06,0.754184
1,66,7,9.419910000000002e-06,0.763811
1,55,8,8.48688e-06,0.755778
1,69,9,7.58255e-06,0.752648
1,61,6,6.3506700000000005e-06,0.75627
1,61,9,1.0755e-05,0.761035
1,56,7,9.54048e-06,0.7536430000000001
1,66,7,6.64362e-06,0.753414
1,67,9,7.95937e-06,0.747602
1,72,10,8.74967e-06,0.75817
1,11,4,8.842000000000001e-06,0.8075640000000001
1,68,7,8.89585e-06,0.754918
1,65,5,9.25482e-06,0.7571680000000001
1,67,9,8.34241e-06,0.761441
1,60,9,9.48956e-06,0.758468
1,47,8,9.04468e-06,0.755524
1,8,5,9.17203e-06,0.802539
1,72,9,8.12067e-06,0.753135
1,65,4,8.87722e-06,0.756905
1,61,6,8.09609e-06,0.754736
1,61,7,9.243719999999999e-06,0.755087
1,64,7,8.30207e-06,0.753931
1,65,8,8.06948e-06,0.7581720000000001
1,65,9,1.04298e-05,0.0
1,59,7,8.56073e-06,0.756196
1,62,4,7.586849999999999e-06,0.754728
1,58,6,8.10559e-06,0.7529710000000001
1,59,6,8.212369999999999e-06,0.754242
1,63,8,7.89836e-06,0.762606
1,64,6,7.80991e-06,0.754302
1,63,5,8.907569999999999e-06,0.750455
1,10,3,1.61349e-05,0.796571
1,13,3,2.1280300000000004e-05,0.796442
1,15,3,2.05176e-05,0.799231
1,14,2,2.06552e-05,0.799784
1,10,2,2.21558e-05,0.7984060000000001
1,15,3,1.8618900000000002e-05,0.798791
1,11,5,2.89429e-05,0.7962640000000001
1,11,3,2.6536300000000002e-05,0.799629
1,9,2,1.4571600000000001e-05,0.7950109999999999
1,12,3,2.29413e-05,0.803372
1,11,3,2.32354e-05,0.8020520000000001
1,9,3,1.6676500000000002e-05,0.796395
1,9,5,1.90168e-05,0.804755
1,10,5,2.3843400000000003e-05,0.803868
1,11,4,2.4570700000000002e-05,0.792132
1,13,4,1.88763e-05,0.794909
1,70,4,2.1687600000000002e-05,0.7501800000000001
1,71,5,2.17621e-05,0.754884
1,70,4,2.59596e-05,0.759583
1,74,7,2.37087e-05,0.7613949999999999
1,63,3,2.2256e-05,0.756885
1,59,5,2.46912e-05,0.752112
1,8,7,3.0410100000000002e-05,0.79704
1,8,4,2.5341599999999998e-05,0.794949
1,8,6,2.8964899999999998e-05,0.795461
1,8,4,3.1912199999999996e-05,0.797797
1,8,6,2.87491e-05,0.798168
1,8,6,2.6756e-05,0.790495
1,7,3,2.69231e-05,0.8036800000000001
1,8,5,3.0382800000000003e-05,0.79489
1,9,4,2.8168899999999997e-05,0.802872
1,8,4,2.6377e-05,0.79706
1,10,4,2.69415e-05,0.795792
1,8,3,2.66821e-05,0.7957930000000001
1,8,6,2.6004299999999998e-05,0.7960689999999999
1,9,3,2.6923899999999998e-05,0.807552
1,10,8,3.11051e-05,0.794818
1,57,17,2.72526e-05,0.546009
1,9,3,2.61394e-05,0.795619
1,9,8,2.8455900000000003e-05,0.7983140000000001
1,8,7,2.74822e-05,0.790799
1,8,3,2.5029099999999997e-05,0.799243
1,59,16,2.4825700000000002e-05,0.550922
1,8,5,2.63152e-05,0.801307
1,8,6,2.99763e-05,0.7988149999999999
1,8,7,2.8865999999999998e-05,0.801199
1,7,7,2.8279200000000002e-05,0.795021
1,7,4,2.70021e-05,0.796305
1,8,6,2.7718400000000002e-05,0.796046
1,8,3,2.75708e-05,0.799691
