identical,SurfMatches,PCL Matches,ICP Similarityscore
0,12,1,8.44391e-05
0,13,0,7.9998e-05
0,10,0,8.38582e-05
0,11,1,8.43172e-05
0,10,0,8.36132e-05
0,10,0,8.570549999999999e-05
0,9,1,8.24624e-05
0,14,3,8.49203e-05
0,11,1,8.43341e-05
0,12,1,8.21642e-05
0,13,1,8.343530000000001e-05
0,11,1,8.32754e-05
0,12,1,8.403e-05
0,14,1,8.71798e-05
0,11,0,0.00118295
0,14,0,0.00116969
0,16,0,0.00123242
0,20,0,0.00126235
0,17,0,0.0012199
0,17,0,0.00125214
0,15,0,0.00122927
0,17,0,0.00123122
0,19,1,0.00122306
0,12,0,0.00115962
0,12,0,0.00120725
0,11,0,0.00116585
0,13,0,0.00121775
0,13,1,0.00120544
0,17,0,0.00117174
0,12,0,0.00119489
0,18,0,0.00120458
0,11,5,5.05733e-05
0,10,4,4.6658e-05
0,11,2,5.70355e-05
0,12,3,4.83055e-05
0,8,4,4.43784e-05
0,12,3,6.05065e-05
0,11,3,4.18531e-05
0,10,4,4.7492299999999986e-05
0,10,7,4.52632e-05
0,15,3,5.5249e-05
0,10,4,4.56165e-05
0,10,6,4.3613e-05
0,10,4,5.24529e-05
0,11,4,4.781060000000001e-05
0,8,5,4.84455e-05
0,10,5,4.83165e-05
0,17,5,0.000190846
1,14,4,7.97488e-05
1,10,1,9.02281e-05
1,13,2,8.073100000000001e-05
1,13,0,7.808270000000001e-05
1,9,1,8.25309e-05
1,15,0,8.21804e-05
1,9,1,8.38434e-05
1,13,1,8.28913e-05
1,9,2,8.50907e-05
1,12,1,8.17892e-05
1,11,1,8.338360000000001e-05
1,10,0,8.762889999999999e-05
1,10,0,8.11745e-05
1,11,1,8.07467e-05
1,10,1,8.6849e-05
1,15,2,8.413629999999999e-05
1,12,0,8.057600000000001e-05
1,11,2,8.269450000000001e-05
0,10,1,8.547049999999999e-05
1,10,3,8.403700000000001e-05
1,14,0,7.979289999999999e-05
0,13,0,8.34118e-05
1,11,0,8.36132e-05
1,13,2,8.1165e-05
1,13,3,8.49203e-05
0,12,1,8.43341e-05
1,13,1,8.21642e-05
0,13,1,8.343530000000001e-05
1,12,1,8.32754e-05
1,13,0,8.15207e-05
0,11,1,7.85388e-05
1,13,1,7.9009e-05
1,12,1,8.370219999999999e-05
1,11,0,8.27325e-05
1,13,1,8.04379e-05
1,12,0,8.697489999999999e-05
0,13,0,8.608889999999999e-05
1,10,0,7.90826e-05
1,10,0,8.472059999999999e-05
1,13,1,8.45427e-05
1,11,2,8.589459999999999e-05
1,13,0,8.590290000000001e-05
1,11,2,8.243129999999999e-05
0,11,1,8.089619999999999e-05
1,12,1,8.47328e-05
1,11,1,8.23202e-05
1,25,10,2.43805e-05
1,24,12,2.51247e-05
1,28,13,2.43365e-05
1,24,8,2.51868e-05
1,20,9,2.38542e-05
1,25,8,2.3472800000000007e-05
1,22,6,3.81391e-05
1,18,10,2.49943e-05
1,18,7,2.50159e-05
0,19,17,2.33605e-05
1,27,7,2.30064e-05
1,15,12,2.74702e-05
1,24,6,2.83318e-05
0,24,10,2.73382e-05
1,24,11,2.19869e-05
1,21,6,2.25999e-05
0,24,9,2.3780100000000006e-05
0,18,3,5.75538e-05
1,25,7,3.01991e-05
1,29,10,2.52684e-05
1,25,9,2.36729e-05
0,20,8,2.42836e-05
0,30,10,2.49525e-05
1,25,10,2.53475e-05
1,25,13,2.5238e-05
1,24,9,2.58785e-05
1,31,7,2.50337e-05
1,25,11,2.62569e-05
1,22,2,2.1032600000000006e-05
0,27,7,2.36029e-05
1,26,8,2.47027e-05
1,23,9,2.60848e-05
1,22,6,2.11289e-05
1,19,9,2.46851e-05
1,30,9,2.4154e-05
1,21,4,5.15595e-05
1,25,8,2.51017e-05
1,21,10,2.4050500000000006e-05
1,23,8,2.25343e-05
1,27,9,2.4878e-05
0,26,7,2.27624e-05
1,18,13,2.31956e-05
1,27,10,2.21678e-05
1,24,10,2.34008e-05
1,25,6,2.40466e-05
1,24,10,2.01862e-05
1,23,7,2.4467e-05
1,24,10,2.55191e-05
0,18,7,2.41424e-05
1,22,10,2.46211e-05
1,19,16,3.674050000000001e-05
1,23,9,2.5187600000000006e-05
1,27,9,2.47473e-05
1,20,14,2.3905500000000007e-05
1,22,12,2.54069e-05
1,58,5,9.12651e-06
1,61,8,7.09227e-06
1,69,8,8.628089999999999e-06
1,57,8,8.29286e-06
1,65,7,7.47807e-06
1,64,7,8.7348e-06
1,61,7,8.05743e-06
1,67,7,7.68363e-06
1,54,6,7.818099999999999e-06
1,65,6,7.25946e-06
1,74,7,8.14293e-06
1,65,9,7.238380000000001e-06
1,64,7,7.98936e-06
1,66,8,6.761289999999998e-06
1,65,10,8.16495e-06
1,67,7,7.375239999999999e-06
1,60,8,7.5319600000000015e-06
1,65,12,8.11754e-06
1,8,5,6.77485e-06
1,65,5,9.64903e-06
1,61,7,9.02859e-06
1,57,8,8.14305e-06
1,54,4,8.36194e-06
1,54,7,9.04482e-06
1,9,5,9.40177e-06
1,68,7,7.17237e-06
1,53,7,7.69023e-06
1,62,7,8.45218e-06
1,60,5,9.46597e-06
1,57,6,8.73145e-06
1,53,7,8.08511e-06
1,61,4,9.267589999999997e-06
1,54,5,8.164400000000001e-06
1,64,6,8.272519999999999e-06
1,61,4,1.02139e-05
1,60,4,8.84459e-06
1,71,4,8.69765e-06
1,57,6,7.54145e-06
1,62,9,8.72691e-06
1,56,8,6.0639199999999985e-06
1,67,9,7.63995e-06
1,68,9,8.04224e-06
1,69,6,8.54479e-06
1,63,10,8.614839999999999e-06
1,57,9,9.123889999999997e-06
1,69,8,7.98283e-06
1,67,9,7.089610000000001e-06
1,67,8,5.97686e-06
1,61,7,8.26999e-06
1,70,9,7.42558e-06
1,59,8,1.00355e-05
1,8,5,6.93428e-06
1,58,10,9.947510000000003e-06
1,68,6,9.72917e-06
1,63,9,8.2283e-06
1,54,7,9.53378e-06
1,69,7,5.13172e-06
1,67,7,8.21563e-06
1,75,7,6.4389300000000016e-06
1,65,4,8.15983e-06
1,53,4,8.6853e-06
1,66,7,9.419910000000003e-06
1,55,8,8.48688e-06
1,69,9,7.58255e-06
1,61,6,6.350670000000001e-06
1,61,9,1.0755e-05
1,56,7,9.54048e-06
1,66,7,6.64362e-06
1,67,9,7.95937e-06
1,72,10,8.74967e-06
1,11,4,8.842000000000001e-06
1,68,7,8.89585e-06
1,65,5,9.25482e-06
1,67,9,8.34241e-06
1,60,9,9.48956e-06
1,47,8,9.04468e-06
1,8,5,9.17203e-06
1,72,9,8.12067e-06
1,65,4,8.87722e-06
1,61,6,8.09609e-06
1,61,7,9.24372e-06
1,64,7,8.30207e-06
1,65,8,8.06948e-06
1,65,9,1.04298e-05
1,59,7,8.56073e-06
1,62,4,7.586849999999998e-06
1,58,6,8.10559e-06
1,59,6,8.212369999999999e-06
1,63,8,7.89836e-06
1,64,6,7.80991e-06
1,63,5,8.907569999999999e-06
